"","Subject","Condition","X2","T2","X1","T1","LaterOptionChosen"
"686",3,0,1.11,3,1,0,1
"687",3,0,1.11,4,1,0,0
"688",3,0,1.11,5,1,0,0
"689",3,0,1.11,6,1,0,0
"690",3,0,1.11,7,1,0,0
"691",3,0,1.3,2,1,0,1
"692",3,0,1.3,3,1,0,1
"693",3,0,1.3,4,1,0,1
"694",3,0,1.3,5,1,0,1
"695",3,0,1.3,6,1,0,1
"696",3,0,1.3,7,1,0,1
"697",3,0,1.57,2,1,0,1
"698",3,0,1.57,3,1,0,1
"699",3,0,1.57,4,1,0,1
"700",3,0,1.57,5,1,0,1
"701",3,0,1.57,6,1,0,1
"702",3,0,1.57,7,1,0,1
"703",3,0,1.22,2,1,0,1
"704",3,0,1.22,3,1,0,1
"705",3,0,1.22,4,1,0,1
"706",3,0,1.22,5,1,0,1
"707",3,0,1.22,6,1,0,0
"708",3,0,1.22,7,1,0,0
"709",3,0,1.09,2,1,0,1
"710",3,0,1.09,3,1,0,0
"711",3,0,1.09,4,1,0,0
"712",3,0,1.09,5,1,0,0
"713",3,0,1.09,6,1,0,0
"714",3,0,1.09,7,1,0,0
"715",3,0,1.54,2,1,0,1
"716",3,0,1.54,3,1,0,1
"717",3,0,1.54,4,1,0,1
"718",3,0,1.54,5,1,0,1
"719",3,0,1.54,6,1,0,1
"720",3,0,1.54,7,1,0,1
"721",4,0,1.46,2,1,0,1
"722",4,0,1.46,3,1,0,1
"723",4,0,1.46,4,1,0,1
"724",4,0,1.46,5,1,0,1
"725",4,0,1.46,6,1,0,1
"726",4,0,1.46,7,1,0,1
"727",4,0,1.11,2,1,0,1
"728",4,0,1.11,3,1,0,1
"729",4,0,1.11,4,1,0,0
