Subject,Condition,X2,T2,X1,T1,LaterOptionChosen
45,1,-10,365,-10,0,0
45,1,-12,365,-10,0,0
45,1,-14,365,-10,0,0
45,1,-16,365,-10,0,0
45,1,-18,365,-10,0,0
46,1,2,365,10,0,0
46,1,4,365,10,0,0
46,1,6,365,10,0,0
46,1,8,365,10,0,0
46,1,10,365,10,0,0
46,1,12,365,10,0,0
46,1,14,365,10,0,0
46,1,16,365,10,0,0
46,1,18,365,10,0,0
46,1,-2,365,-10,0,1
46,1,-4,365,-10,0,1
46,1,-6,365,-10,0,1
46,1,-8,365,-10,0,1
46,1,-10,365,-10,0,0
46,1,-12,365,-10,0,0
46,1,-14,365,-10,0,0
46,1,-16,365,-10,0,0
46,1,-18,365,-10,0,0
47,1,2,365,10,0,0
47,1,4,365,10,0,0
47,1,6,365,10,0,0
47,1,8,365,10,0,0
47,1,10,365,10,0,0
47,1,12,365,10,0,0
47,1,14,365,10,0,0
47,1,16,365,10,0,0
47,1,18,365,10,0,0
47,1,-2,365,-10,0,0
47,1,-4,365,-10,0,0
47,1,-6,365,-10,0,0
47,1,-8,365,-10,0,0
47,1,-10,365,-10,0,0
47,1,-12,365,-10,0,0
47,1,-14,365,-10,0,0
47,1,-16,365,-10,0,0
47,1,-18,365,-10,0,0
48,1,2,365,10,0,0
48,1,4,365,10,0,0
48,1,6,365,10,0,0
48,1,8,365,10,0,0
48,1,10,365,10,0,0
48,1,12,365,10,0,0
48,1,14,365,10,0,0
48,1,16,365,10,0,1
48,1,18,365,10,0,1
48,1,-2,365,-10,0,1
48,1,-4,365,-10,0,1
48,1,-6,365,-10,0,1
48,1,-8,365,-10,0,1
48,1,-10,365,-10,0,1
48,1,-12,365,-10,0,0
48,1,-14,365,-10,0,0
48,1,-16,365,-10,0,0
48,1,-18,365,-10,0,0
49,1,2,365,10,0,0
49,1,4,365,10,0,0
49,1,6,365,10,0,0
49,1,8,365,10,0,0
49,1,10,365,10,0,0
49,1,12,365,10,0,0
49,1,14,365,10,0,0
